"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.497043703817656,0.492902273519331,0.0286611380397365,50710,0.95,3.05238667139492e-09,0.993893620791668,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.500783168441019,0.501980800092105,0.971228460683446,50863.5,0.95,1.06470609130756e-10,0.994001901393427,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.00373946462336284,-0.000818411044466281,0.00224386281892897,51167.2,0.95,-0.981339261057332,0.862317171702241,0,49.834,NA,NA,NA,NA,NA
